step,epoch,loss,eval_loss,learning_rate
5,0.23255813953488372,3.8755332946777346,,4.9401896938898185e-05
10,0.46511627906976744,1.4640454292297362,,4.584994544724695e-05
15,0.6976744186046512,0.6083372116088868,,3.954647288894883e-05
20,0.9302325581395349,0.20389511585235595,,3.132333455979202e-05
22,1.0,,0.06634184718132019,
25,1.1395348837209303,0.06006286740303039,,2.2265719790553147e-05
30,1.372093023255814,0.027632942795753478,,1.3568941917384036e-05
35,1.6046511627906976,0.011624771356582641,,6.380695431405453e-06
40,1.8372093023255816,0.00879349410533905,,1.649597281686302e-06
44,2.0,,0.013539706356823444,
44,2.0,,,
